Number of robot passes: 72

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    83.8     0        30   
2    1   2    72.57    41.9     60   
3    1   3    41.9     72.57    90   
4    1   4    0        83.8     120  
5    1   5    -41.9    72.57    150  
6    1   6    -72.57   41.9     180  
7    1   7    -83.8    0        210  
8    1   8    -72.57   -41.9    240  
9    1   9    -41.9    -72.57   270  
10   1   10   0        -83.8    300  
11   1   11   41.9     -72.57   330  
12   1   12   72.57    -41.9    360  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    83.8     0        30   
2    1   2    72.57    41.9     60   
3    1   3    41.9     72.57    90   
4    1   4    0        83.8     120  
5    1   5    -41.9    72.57    150  
6    1   6    -72.57   41.9     180  
7    1   7    -83.8    0        210  
8    1   8    -72.57   -41.9    240  
9    1   9    -41.9    -72.57   270  
10   1   10   0        -83.8    300  
11   1   11   41.9     -72.57   330  
12   1   12   72.57    -41.9    360  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    83.8     0        30   
2    1   2    72.57    41.9     60   
3    1   3    41.9     72.57    90   
4    1   4    0        83.8     120  
5    1   5    -41.9    72.57    150  
6    1   6    -72.57   41.9     180  
7    1   7    -83.8    0        210  
8    1   8    -72.57   -41.9    240  
9    1   9    -41.9    -72.57   270  
10   1   10   0        -83.8    300  
11   1   11   41.9     -72.57   330  
12   1   12   72.57    -41.9    360  

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    83.8     0        30   
2    1   2    72.57    41.9     60   
3    1   3    41.9     72.57    90   
4    1   4    0        83.8     120  
5    1   5    -41.9    72.57    150  
6    1   6    -72.57   41.9     180  
7    1   7    -83.8    0        210  
8    1   8    -72.57   -41.9    240  
9    1   9    -41.9    -72.57   270  
10   1   10   0        -83.8    300  
11   1   11   41.9     -72.57   330  
12   1   12   72.57    -41.9    360  

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    83.8     0        30   
2    1   2    72.57    41.9     60   
3    1   3    41.9     72.57    90   
4    1   4    0        83.8     120  
5    1   5    -41.9    72.57    150  
6    1   6    -72.57   41.9     180  
7    1   7    -83.8    0        210  
8    1   8    -72.57   -41.9    240  
9    1   9    -41.9    -72.57   270  
10   1   10   0        -83.8    300  
11   1   11   41.9     -72.57   330  
12   1   12   72.57    -41.9    360  

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    83.8     0        30   
2    1   2    72.57    41.9     60   
3    1   3    41.9     72.57    90   
4    1   4    0        83.8     120  
5    1   5    -41.9    72.57    150  
6    1   6    -72.57   41.9     180  
7    1   7    -83.8    0        210  
8    1   8    -72.57   -41.9    240  
9    1   9    -41.9    -72.57   270  
10   1   10   0        -83.8    300  
11   1   11   41.9     -72.57   330  
12   1   12   72.57    -41.9    360  
