Number of robot passes: 200

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    92.5     0        0    
2    1   2    89.35    23.94    15   
3    1   3    80.11    46.25    30   
4    1   4    65.41    65.41    45   
5    1   5    46.25    80.11    60   
6    1   6    23.94    89.35    75   
7    1   7    0        92.5     90   
8    1   8    -23.94   89.35    105  
9    1   9    -46.25   80.11    120  
10   1   10   -65.41   65.41    135  
11   1   11   -80.11   46.25    150  
12   1   12   -89.35   23.94    165  
13   1   13   -92.5    0        180  
14   1   14   -89.35   -23.94   195  
15   1   15   -80.11   -46.25   210  
16   1   16   -65.41   -65.41   225  
17   1   17   -46.25   -80.11   240  
18   1   18   -23.94   -89.35   255  
19   1   19   0        -92.5    270  
20   1   20   23.94    -89.35   285  
21   1   21   46.25    -80.11   300  
22   1   22   65.41    -65.41   315  
23   1   23   80.11    -46.25   330  
24   1   24   89.35    -23.94   345  
25   2   1    68       0        0    
26   2   3    50.25    45.81    42.4 
27   2   5    6.27     67.71    84.7 
28   2   6    -18.61   65.4     105.9
29   2   7    -40.98   54.27    127.1
30   2   9    -66.84   12.49    169.4
31   2   11   -57.81   -35.8    211.8
32   2   13   -18.61   -65.4    254.1
33   2   15   30.31    -60.87   296.5
34   2   16   50.25    -45.81   317.6

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    92.5     0        0    
2    1   2    89.35    23.94    15   
3    1   3    80.11    46.25    30   
4    1   4    65.41    65.41    45   
5    1   5    46.25    80.11    60   
6    1   6    23.94    89.35    75   
7    1   7    0        92.5     90   
8    1   8    -23.94   89.35    105  
9    1   9    -46.25   80.11    120  
10   1   10   -65.41   65.41    135  
11   1   11   -80.11   46.25    150  
12   1   12   -89.35   23.94    165  
13   1   13   -92.5    0        180  
14   1   14   -89.35   -23.94   195  
15   1   15   -80.11   -46.25   210  
16   1   16   -65.41   -65.41   225  
17   1   17   -46.25   -80.11   240  
18   1   18   -23.94   -89.35   255  
19   1   19   0        -92.5    270  
20   1   20   23.94    -89.35   285  
21   1   21   46.25    -80.11   300  
22   1   22   65.41    -65.41   315  
23   1   23   80.11    -46.25   330  
24   1   24   89.35    -23.94   345  
25   2   1    68       0        0    
26   2   3    50.25    45.81    42.4 
27   2   5    6.27     67.71    84.7 
28   2   6    -18.61   65.4     105.9
29   2   7    -40.98   54.27    127.1
30   2   9    -66.84   12.49    169.4
31   2   11   -57.81   -35.8    211.8
32   2   13   -18.61   -65.4    254.1
33   2   15   30.31    -60.87   296.5
34   2   16   50.25    -45.81   317.6

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    92.5     0        0    
2    1   2    89.35    23.94    15   
3    1   3    80.11    46.25    30   
4    1   4    65.41    65.41    45   
5    1   5    46.25    80.11    60   
6    1   6    23.94    89.35    75   
7    1   7    0        92.5     90   
8    1   8    -23.94   89.35    105  
9    1   9    -46.25   80.11    120  
10   1   10   -65.41   65.41    135  
11   1   11   -80.11   46.25    150  
12   1   12   -89.35   23.94    165  
13   1   13   -92.5    0        180  
14   1   14   -89.35   -23.94   195  
15   1   15   -80.11   -46.25   210  
16   1   16   -65.41   -65.41   225  
17   1   17   -46.25   -80.11   240  
18   1   18   -23.94   -89.35   255  
19   1   19   0        -92.5    270  
