Number of robot passes: 108

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    84.38    30.71    20   
3    1   3    68.79    57.72    40   
4    1   4    44.9     77.77    60   
5    1   5    15.59    88.44    80   
6    1   6    -15.59   88.44    100  
7    1   7    -44.9    77.77    120  
8    1   8    -68.79   57.72    140  
9    1   9    -84.38   30.71    160  
10   1   10   -89.8    0        180  
11   1   11   -84.38   -30.71   200  
12   1   12   -68.79   -57.72   220  
13   1   13   -44.9    -77.77   240  
14   1   14   -15.59   -88.44   260  
15   1   15   15.59    -88.44   280  
16   1   16   44.9     -77.77   300  
17   1   17   68.79    -57.72   320  
18   1   18   84.38    -30.71   340  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    84.38    30.71    20   
3    1   3    68.79    57.72    40   
4    1   4    44.9     77.77    60   
5    1   5    15.59    88.44    80   
6    1   6    -15.59   88.44    100  
7    1   7    -44.9    77.77    120  
8    1   8    -68.79   57.72    140  
9    1   9    -84.38   30.71    160  
10   1   10   -89.8    0        180  
11   1   11   -84.38   -30.71   200  
12   1   12   -68.79   -57.72   220  
13   1   13   -44.9    -77.77   240  
14   1   14   -15.59   -88.44   260  
15   1   15   15.59    -88.44   280  
16   1   16   44.9     -77.77   300  
17   1   17   68.79    -57.72   320  
18   1   18   84.38    -30.71   340  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    84.38    30.71    20   
3    1   3    68.79    57.72    40   
4    1   4    44.9     77.77    60   
5    1   5    15.59    88.44    80   
6    1   6    -15.59   88.44    100  
7    1   7    -44.9    77.77    120  
8    1   8    -68.79   57.72    140  
9    1   9    -84.38   30.71    160  
10   1   10   -89.8    0        180  
11   1   11   -84.38   -30.71   200  
12   1   12   -68.79   -57.72   220  
13   1   13   -44.9    -77.77   240  
14   1   14   -15.59   -88.44   260  
15   1   15   15.59    -88.44   280  
16   1   16   44.9     -77.77   300  
17   1   17   68.79    -57.72   320  
18   1   18   84.38    -30.71   340  

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    84.38    30.71    20   
3    1   3    68.79    57.72    40   
4    1   4    44.9     77.77    60   
5    1   5    15.59    88.44    80   
6    1   6    -15.59   88.44    100  
7    1   7    -44.9    77.77    120  
8    1   8    -68.79   57.72    140  
9    1   9    -84.38   30.71    160  
10   1   10   -89.8    0        180  
11   1   11   -84.38   -30.71   200  
12   1   12   -68.79   -57.72   220  
13   1   13   -44.9    -77.77   240  
14   1   14   -15.59   -88.44   260  
15   1   15   15.59    -88.44   280  
16   1   16   44.9     -77.77   300  
17   1   17   68.79    -57.72   320  
18   1   18   84.38    -30.71   340  

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    84.38    30.71    20   
3    1   3    68.79    57.72    40   
4    1   4    44.9     77.77    60   
5    1   5    15.59    88.44    80   
6    1   6    -15.59   88.44    100  
7    1   7    -44.9    77.77    120  
8    1   8    -68.79   57.72    140  
9    1   9    -84.38   30.71    160  
10   1   10   -89.8    0        180  
11   1   11   -84.38   -30.71   200  
12   1   12   -68.79   -57.72   220  
13   1   13   -44.9    -77.77   240  
14   1   14   -15.59   -88.44   260  
15   1   15   15.59    -88.44   280  
16   1   16   44.9     -77.77   300  
17   1   17   68.79    -57.72   320  
18   1   18   84.38    -30.71   340  

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    84.38    30.71    20   
3    1   3    68.79    57.72    40   
4    1   4    44.9     77.77    60   
5    1   5    15.59    88.44    80   
6    1   6    -15.59   88.44    100  
7    1   7    -44.9    77.77    120  
8    1   8    -68.79   57.72    140  
9    1   9    -84.38   30.71    160  
10   1   10   -89.8    0        180  
11   1   11   -84.38   -30.71   200  
12   1   12   -68.79   -57.72   220  
13   1   13   -44.9    -77.77   240  
14   1   14   -15.59   -88.44   260  
15   1   15   15.59    -88.44   280  
16   1   16   44.9     -77.77   300  
17   1   17   68.79    -57.72   320  
18   1   18   84.38    -30.71   340  
