Number of robot passes: 54

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    90.3     0        0    
2    1   3    69.17    58.04    40   
3    1   5    15.68    88.93    80   
4    1   7    -45.15   78.2     120  
5    1   9    -84.85   30.88    160  
6    1   11   -84.85   -30.88   200  
7    1   13   -45.15   -78.2    240  
8    1   15   15.68    -88.93   280  
9    1   17   69.17    -58.04   320  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    90.3     0        0    
2    1   3    69.17    58.04    40   
3    1   5    15.68    88.93    80   
4    1   7    -45.15   78.2     120  
5    1   9    -84.85   30.88    160  
6    1   11   -84.85   -30.88   200  
7    1   13   -45.15   -78.2    240  
8    1   15   15.68    -88.93   280  
9    1   17   69.17    -58.04   320  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    90.3     0        0    
2    1   3    69.17    58.04    40   
3    1   5    15.68    88.93    80   
4    1   7    -45.15   78.2     120  
5    1   9    -84.85   30.88    160  
6    1   11   -84.85   -30.88   200  
7    1   13   -45.15   -78.2    240  
8    1   15   15.68    -88.93   280  
9    1   17   69.17    -58.04   320  

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    90.3     0        0    
2    1   3    69.17    58.04    40   
3    1   5    15.68    88.93    80   
4    1   7    -45.15   78.2     120  
5    1   9    -84.85   30.88    160  
6    1   11   -84.85   -30.88   200  
7    1   13   -45.15   -78.2    240  
8    1   15   15.68    -88.93   280  
9    1   17   69.17    -58.04   320  

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    90.3     0        0    
2    1   3    69.17    58.04    40   
3    1   5    15.68    88.93    80   
4    1   7    -45.15   78.2     120  
5    1   9    -84.85   30.88    160  
6    1   11   -84.85   -30.88   200  
7    1   13   -45.15   -78.2    240  
8    1   15   15.68    -88.93   280  
9    1   17   69.17    -58.04   320  

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    90.3     0        0    
2    1   3    69.17    58.04    40   
3    1   5    15.68    88.93    80   
4    1   7    -45.15   78.2     120  
5    1   9    -84.85   30.88    160  
6    1   11   -84.85   -30.88   200  
7    1   13   -45.15   -78.2    240  
8    1   15   15.68    -88.93   280  
9    1   17   69.17    -58.04   320  
