Source,System Messege,Time
RobotConnection()  SendData,Object reference not set to an instance of an object.,17:13
RobotConnection()  SendData,Object reference not set to an instance of an object.,17:14
RobotConnection()  SendData,Object reference not set to an instance of an object.,17:17
RobotConnection()  SendData,Object reference not set to an instance of an object.,17:19
RobotConnection()  SendData,Object reference not set to an instance of an object.,17:19
RobotConnection()  SendData,Object reference not set to an instance of an object.,17:19
RobotConnection()  SendData,Object reference not set to an instance of an object.,17:36
RobotConnection()  SendData,Object reference not set to an instance of an object.,17:36
RobotConnection()  SendData,Index and length must refer to a location within the string.
Parameter name: length,17:40
RobotConnection()  SendData,Index and length must refer to a location within the string.
Parameter name: length,17:40
RobotConnection()  SendData,Index and length must refer to a location within the string.
Parameter name: length,17:40
