Number of robot passes: 60

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    91.2     0        0    
2    1   3    73.78    53.61    36   
3    1   5    28.18    86.74    72   
4    1   7    -28.18   86.74    108  
5    1   9    -73.78   53.61    144  
6    1   11   -91.2    0        180  
7    1   13   -73.78   -53.61   216  
8    1   15   -28.18   -86.74   252  
9    1   17   28.18    -86.74   288  
10   1   19   73.78    -53.61   324  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    91.2     0        0    
2    1   3    73.78    53.61    36   
3    1   5    28.18    86.74    72   
4    1   7    -28.18   86.74    108  
5    1   9    -73.78   53.61    144  
6    1   11   -91.2    0        180  
7    1   13   -73.78   -53.61   216  
8    1   15   -28.18   -86.74   252  
9    1   17   28.18    -86.74   288  
10   1   19   73.78    -53.61   324  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    91.2     0        0    
2    1   3    73.78    53.61    36   
3    1   5    28.18    86.74    72   
4    1   7    -28.18   86.74    108  
5    1   9    -73.78   53.61    144  
6    1   11   -91.2    0        180  
7    1   13   -73.78   -53.61   216  
8    1   15   -28.18   -86.74   252  
9    1   17   28.18    -86.74   288  
10   1   19   73.78    -53.61   324  

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    91.2     0        0    
2    1   3    73.78    53.61    36   
3    1   5    28.18    86.74    72   
4    1   7    -28.18   86.74    108  
5    1   9    -73.78   53.61    144  
6    1   11   -91.2    0        180  
7    1   13   -73.78   -53.61   216  
8    1   15   -28.18   -86.74   252  
9    1   17   28.18    -86.74   288  
10   1   19   73.78    -53.61   324  

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    91.2     0        0    
2    1   3    73.78    53.61    36   
3    1   5    28.18    86.74    72   
4    1   7    -28.18   86.74    108  
5    1   9    -73.78   53.61    144  
6    1   11   -91.2    0        180  
7    1   13   -73.78   -53.61   216  
8    1   15   -28.18   -86.74   252  
9    1   17   28.18    -86.74   288  
10   1   19   73.78    -53.61   324  

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    91.2     0        0    
2    1   3    73.78    53.61    36   
3    1   5    28.18    86.74    72   
4    1   7    -28.18   86.74    108  
5    1   9    -73.78   53.61    144  
6    1   11   -91.2    0        180  
7    1   13   -73.78   -53.61   216  
8    1   15   -28.18   -86.74   252  
9    1   17   28.18    -86.74   288  
10   1   19   73.78    -53.61   324  
