Number of robot passes: 60

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    86.9     0        0    
2    1   2    79.39    35.35    24   
3    1   3    58.15    64.58    48   
4    1   4    26.85    82.65    72   
5    1   5    -9.08    86.42    96   
6    1   6    -43.45   75.26    120  
7    1   7    -70.3    51.08    144  
8    1   8    -85      18.07    168  
9    1   9    -85      -18.07   192  
10   1   10   -70.3    -51.08   216  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    86.9     0        0    
2    1   2    79.39    35.35    24   
3    1   3    58.15    64.58    48   
4    1   4    26.85    82.65    72   
5    1   5    -9.08    86.42    96   
6    1   6    -43.45   75.26    120  
7    1   7    -70.3    51.08    144  
8    1   8    -85      18.07    168  
9    1   9    -85      -18.07   192  
10   1   10   -70.3    -51.08   216  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    86.9     0        0    
2    1   2    79.39    35.35    24   
3    1   3    58.15    64.58    48   
4    1   4    26.85    82.65    72   
5    1   5    -9.08    86.42    96   
6    1   6    -43.45   75.26    120  
7    1   7    -70.3    51.08    144  
8    1   8    -85      18.07    168  
9    1   9    -85      -18.07   192  
10   1   10   -70.3    -51.08   216  

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    86.9     0        0    
2    1   2    79.39    35.35    24   
3    1   3    58.15    64.58    48   
4    1   4    26.85    82.65    72   
5    1   5    -9.08    86.42    96   
6    1   6    -43.45   75.26    120  
7    1   7    -70.3    51.08    144  
8    1   8    -85      18.07    168  
9    1   9    -85      -18.07   192  
10   1   10   -70.3    -51.08   216  

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    86.9     0        0    
2    1   2    79.39    35.35    24   
3    1   3    58.15    64.58    48   
4    1   4    26.85    82.65    72   
5    1   5    -9.08    86.42    96   
6    1   6    -43.45   75.26    120  
7    1   7    -70.3    51.08    144  
8    1   8    -85      18.07    168  
9    1   9    -85      -18.07   192  
10   1   10   -70.3    -51.08   216  

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    86.9     0        0    
2    1   2    79.39    35.35    24   
3    1   3    58.15    64.58    48   
4    1   4    26.85    82.65    72   
5    1   5    -9.08    86.42    96   
6    1   6    -43.45   75.26    120  
7    1   7    -70.3    51.08    144  
8    1   8    -85      18.07    168  
9    1   9    -85      -18.07   192  
10   1   10   -70.3    -51.08   216  
