Number of robot passes: 
396

No Area Row Col.  X      Y     Put FGr Take Angle

1    1   1   1   16.84  26.74   1   1   1   0    
2    1   1   2   25.56  26.74   1   1   1   0    
3    1   1   3   34.28  26.74   1   1   1   0    
4    1   1   4   43     26.74   1   1   1   0    
5    1   1   5   51.72  26.74   1   1   1   0    
6    1   1   6   60.44  26.74   1   1   1   0    
7    1   1   7   69.17  26.74   1   1   1   0    
8    1   1   8   77.89  26.74   1   1   1   0    
9    1   1   9   86.61  26.74   1   1   1   0    
10   1   1   10  95.33  26.74   1   1   1   0    
11   1   1   11  104.05 26.74   1   1   1   0    
12   1   1   12  112.77 26.74   1   1   1   0    
13   1   1   13  121.49 26.74   1   1   1   0    
14   1   1   14  130.21 26.74   1   1   1   0    
15   1   1   15  138.93 26.74   1   1   1   0    
16   1   1   16  147.66 26.74   1   1   1   0    
17   1   1   17  156.38 26.74   1   1   1   0    
18   1   1   18  165.1  26.74   1   1   1   0    
19   1   1   19  173.82 26.74   1   1   1   0    
20   1   1   20  182.54 26.74   1   1   1   0    
21   1   1   21  191.26 26.74   1   1   1   0    
22   1   1   22  199.98 26.74   1   1   1   0    
23   1   1   23  208.7  26.74   1   1   1   0    
24   1   1   24  217.42 26.74   1   1   1   0    
25   1   1   25  226.14 26.74   1   1   1   0    
26   1   1   26  234.86 26.74   1   1   1   0    
27   1   1   27  243.59 26.74   1   1   1   0    
28   1   1   28  252.31 26.74   1   1   1   0    
29   1   1   29  261.03 26.74   1   1   1   0    
30   1   1   30  269.75 26.74   1   1   1   0    
31   1   1   31  278.47 26.74   1   1   1   0    
32   1   1   32  287.19 26.74   1   1   1   0    
33   1   1   33  295.91 26.74   1   1   1   0    
34   1   1   34  304.63 26.74   1   1   1   0    
35   1   1   35  313.35 26.74   1   1   1   0    
36   1   1   36  322.08 26.74   1   1   1   0    
37   1   2   1   16.84  51.76   1   1   1   0    
38   1   2   2   25.56  51.76   1   1   1   0    
39   1   2   3   34.28  51.76   1   1   1   0    
40   1   2   4   43     51.76   1   1   1   0    
41   1   2   5   51.72  51.76   1   1   1   0    
42   1   2   6   60.44  51.76   1   1   1   0    
43   1   2   7   69.17  51.76   1   1   1   0    
44   1   2   8   77.89  51.76   1   1   1   0    
45   1   2   9   86.61  51.76   1   1   1   0    
46   1   2   10  95.33  51.76   1   1   1   0    
47   1   2   11  104.05 51.76   1   1   1   0    
48   1   2   12  112.77 51.76   1   1   1   0    
49   1   2   13  121.49 51.76   1   1   1   0    
50   1   2   14  130.21 51.76   1   1   1   0    
51   1   2   15  138.93 51.76   1   1   1   0    
52   1   2   16  147.66 51.76   1   1   1   0    
53   1   2   17  156.38 51.76   1   1   1   0    
54   1   2   18  165.1  51.76   1   1   1   0    
55   1   2   19  173.82 51.76   1   1   1   0    
56   1   2   20  182.54 51.76   1   1   1   0    
57   1   2   21  191.26 51.76   1   1   1   0    
58   1   2   22  199.98 51.76   1   1   1   0    
59   1   2   23  208.7  51.76   1   1   1   0    
60   1   2   24  217.42 51.76   1   1   1   0    
61   1   2   25  226.14 51.76   1   1   1   0    
62   1   2   26  234.86 51.76   1   1   1   0    
63   1   2   27  243.59 51.76   1   1   1   0    
64   1   2   28  252.31 51.76   1   1   1   0    
65   1   2   29  261.03 51.76   1   1   1   0    
66   1   2   30  269.75 51.76   1   1   1   0    
67   1   2   31  278.47 51.76   1   1   1   0    
68   1   2   32  287.19 51.76   1   1   1   0    
69   1   2   33  295.91 51.76   1   1   1   0    
70   1   2   34  304.63 51.76   1   1   1   0    
71   1   2   35  313.35 51.76   1   1   1   0    
72   1   2   36  322.08 51.76   1   1   1   0    
73   1   3   1   16.84  76.77   1   1   1   0    
74   1   3   2   25.56  76.77   1   1   1   0    
75   1   3   3   34.28  76.77   1   1   1   0    
76   1   3   4   43     76.77   1   1   1   0    
77   1   3   5   51.72  76.77   1   1   1   0    
78   1   3   6   60.44  76.77   1   1   1   0    
79   1   3   7   69.17  76.77   1   1   1   0    
80   1   3   8   77.89  76.77   1   1   1   0    
81   1   3   9   86.61  76.77   1   1   1   0    
82   1   3   10  95.33  76.77   1   1   1   0    
83   1   3   11  104.05 76.77   1   1   1   0    
84   1   3   12  112.77 76.77   1   1   1   0    
85   1   3   13  121.49 76.77   1   1   1   0    
86   1   3   14  130.21 76.77   1   1   1   0    
87   1   3   15  138.93 76.77   1   1   1   0    
88   1   3   16  147.66 76.77   1   1   1   0    
89   1   3   17  156.38 76.77   1   1   1   0    
90   1   3   18  165.1  76.77   1   1   1   0    
91   1   3   19  173.82 76.77   1   1   1   0    
92   1   3   20  182.54 76.77   1   1   1   0    
93   1   3   21  191.26 76.77   1   1   1   0    
94   1   3   22  199.98 76.77   1   1   1   0    
95   1   3   23  208.7  76.77   1   1   1   0    
96   1   3   24  217.42 76.77   1   1   1   0    
97   1   3   25  226.14 76.77   1   1   1   0    
98   1   3   26  234.86 76.77   1   1   1   0    
99   1   3   27  243.59 76.77   1   1   1   0    
100  1   3   28  252.31 76.77   1   1   1   0    
101  1   3   29  261.03 76.77   1   1   1   0    
102  1   3   30  269.75 76.77   1   1   1   0    
103  1   3   31  278.47 76.77   1   1   1   0    
104  1   3   32  287.19 76.77   1   1   1   0    
105  1   3   33  295.91 76.77   1   1   1   0    
106  1   3   34  304.63 76.77   1   1   1   0    
107  1   3   35  313.35 76.77   1   1   1   0    
108  1   3   36  322.08 76.77   1   1   1   0    
109  1   4   1   16.84  101.79  1   1   1   0    
110  1   4   2   25.56  101.79  1   1   1   0    
111  1   4   3   34.28  101.79  1   1   1   0    
112  1   4   4   43     101.79  1   1   1   0    
113  1   4   5   51.72  101.79  1   1   1   0    
114  1   4   6   60.44  101.79  1   1   1   0    
115  1   4   7   69.17  101.79  1   1   1   0    
116  1   4   8   77.89  101.79  1   1   1   0    
117  1   4   9   86.61  101.79  1   1   1   0    
118  1   4   10  95.33  101.79  1   1   1   0    
119  1   4   11  104.05 101.79  1   1   1   0    
120  1   4   12  112.77 101.79  1   1   1   0    
121  1   4   13  121.49 101.79  1   1   1   0    
122  1   4   14  130.21 101.79  1   1   1   0    
123  1   4   15  138.93 101.79  1   1   1   0    
124  1   4   16  147.66 101.79  1   1   1   0    
125  1   4   17  156.38 101.79  1   1   1   0    
126  1   4   18  165.1  101.79  1   1   1   0    
127  1   4   19  173.82 101.79  1   1   1   0    
128  1   4   20  182.54 101.79  1   1   1   0    
