Number of robot passes: 
221

No Area Row Col.  X      Y     Put FGr Take Angle

1    1   1   1   22.92  29.83   1   1   1   0    
2    1   1   2   47.08  29.83   1   1   1   0    
3    1   1   3   71.24  29.83   1   1   1   0    
4    1   1   4   95.4   29.83   1   1   1   0    
5    1   1   5   119.56 29.83   1   1   1   0    
6    1   1   6   143.72 29.83   1   1   1   0    
7    1   1   7   167.88 29.83   1   1   1   0    
8    1   1   8   192.04 29.83   1   1   1   0    
9    1   1   9   216.2  29.83   1   1   1   0    
10   1   1   10  240.36 29.83   1   1   1   0    
11   1   1   11  264.52 29.83   1   1   1   0    
12   1   1   12  288.68 29.83   1   1   1   0    
13   1   1   13  312.84 29.83   1   1   1   0    
14   1   2   1   22.92  45.17   1   1   1   0    
15   1   2   2   47.08  45.17   1   1   1   0    
16   1   2   3   71.24  45.17   1   1   1   0    
17   1   2   4   95.4   45.17   1   1   1   0    
18   1   2   5   119.56 45.17   1   1   1   0    
19   1   2   6   143.72 45.17   1   1   1   0    
20   1   2   7   167.88 45.17   1   1   1   0    
21   1   2   8   192.04 45.17   1   1   1   0    
22   1   2   9   216.2  45.17   1   1   1   0    
23   1   2   10  240.36 45.17   1   1   1   0    
24   1   2   11  264.52 45.17   1   1   1   0    
25   1   2   12  288.68 45.17   1   1   1   0    
26   1   2   13  312.84 45.17   1   1   1   0    
27   1   3   1   22.92  60.51   1   1   1   0    
28   1   3   2   47.08  60.51   1   1   1   0    
29   1   3   3   71.24  60.51   1   1   1   0    
30   1   3   4   95.4   60.51   1   1   1   0    
31   1   3   5   119.56 60.51   1   1   1   0    
32   1   3   6   143.72 60.51   1   1   1   0    
33   1   3   7   167.88 60.51   1   1   1   0    
34   1   3   8   192.04 60.51   1   1   1   0    
35   1   3   9   216.2  60.51   1   1   1   0    
36   1   3   10  240.36 60.51   1   1   1   0    
37   1   3   11  264.52 60.51   1   1   1   0    
38   1   3   12  288.68 60.51   1   1   1   0    
39   1   3   13  312.84 60.51   1   1   1   0    
40   1   4   1   22.92  75.85   1   1   1   0    
41   1   4   2   47.08  75.85   1   1   1   0    
42   1   4   3   71.24  75.85   1   1   1   0    
43   1   4   4   95.4   75.85   1   1   1   0    
44   1   4   5   119.56 75.85   1   1   1   0    
45   1   4   6   143.72 75.85   1   1   1   0    
46   1   4   7   167.88 75.85   1   1   1   0    
47   1   4   8   192.04 75.85   1   1   1   0    
48   1   4   9   216.2  75.85   1   1   1   0    
49   1   4   10  240.36 75.85   1   1   1   0    
50   1   4   11  264.52 75.85   1   1   1   0    
51   1   4   12  288.68 75.85   1   1   1   0    
52   1   4   13  312.84 75.85   1   1   1   0    
53   1   5   1   22.92  91.19   1   1   1   0    
54   1   5   2   47.08  91.19   1   1   1   0    
55   1   5   3   71.24  91.19   1   1   1   0    
56   1   5   4   95.4   91.19   1   1   1   0    
57   1   5   5   119.56 91.19   1   1   1   0    
58   1   5   6   143.72 91.19   1   1   1   0    
59   1   5   7   167.88 91.19   1   1   1   0    
60   1   5   8   192.04 91.19   1   1   1   0    
61   1   5   9   216.2  91.19   1   1   1   0    
62   1   5   10  240.36 91.19   1   1   1   0    
63   1   5   11  264.52 91.19   1   1   1   0    
64   1   5   12  288.68 91.19   1   1   1   0    
65   1   5   13  312.84 91.19   1   1   1   0    
66   1   6   1   22.92  106.53  1   1   1   0    
67   1   6   2   47.08  106.53  1   1   1   0    
68   1   6   3   71.24  106.53  1   1   1   0    
69   1   6   4   95.4   106.53  1   1   1   0    
70   1   6   5   119.56 106.53  1   1   1   0    
71   1   6   6   143.72 106.53  1   1   1   0    
72   1   6   7   167.88 106.53  1   1   1   0    
73   1   6   8   192.04 106.53  1   1   1   0    
74   1   6   9   216.2  106.53  1   1   1   0    
75   1   6   10  240.36 106.53  1   1   1   0    
76   1   6   11  264.52 106.53  1   1   1   0    
77   1   6   12  288.68 106.53  1   1   1   0    
78   1   6   13  312.84 106.53  1   1   1   0    
79   1   7   1   22.92  121.87  1   1   1   0    
80   1   7   2   47.08  121.87  1   1   1   0    
81   1   7   3   71.24  121.87  1   1   1   0    
82   1   7   4   95.4   121.87  1   1   1   0    
83   1   7   5   119.56 121.87  1   1   1   0    
84   1   7   6   143.72 121.87  1   1   1   0    
85   1   7   7   167.88 121.87  1   1   1   0    
86   1   7   8   192.04 121.87  1   1   1   0    
87   1   7   9   216.2  121.87  1   1   1   0    
88   1   7   10  240.36 121.87  1   1   1   0    
89   1   7   11  264.52 121.87  1   1   1   0    
90   1   7   12  288.68 121.87  1   1   1   0    
91   1   7   13  312.84 121.87  1   1   1   0    
92   1   8   1   22.92  137.21  1   1   1   0    
93   1   8   2   47.08  137.21  1   1   1   0    
94   1   8   3   71.24  137.21  1   1   1   0    
95   1   8   4   95.4   137.21  1   1   1   0    
96   1   8   5   119.56 137.21  1   1   1   0    
97   1   8   6   143.72 137.21  1   1   1   0    
98   1   8   7   167.88 137.21  1   1   1   0    
99   1   8   8   192.04 137.21  1   1   1   0    
100  1   8   9   216.2  137.21  1   1   1   0    
101  1   8   10  240.36 137.21  1   1   1   0    
102  1   8   11  264.52 137.21  1   1   1   0    
103  1   8   12  288.68 137.21  1   1   1   0    
104  1   8   13  312.84 137.21  1   1   1   0    
105  1   9   1   22.92  152.55  1   1   1   0    
106  1   9   2   47.08  152.55  1   1   1   0    
107  1   9   3   71.24  152.55  1   1   1   0    
108  1   9   4   95.4   152.55  1   1   1   0    
109  1   9   5   119.56 152.55  1   1   1   0    
110  1   9   6   143.72 152.55  1   1   1   0    
111  1   9   7   167.88 152.55  1   1   1   0    
112  1   9   8   192.04 152.55  1   1   1   0    
113  1   9   9   216.2  152.55  1   1   1   0    
114  1   9   10  240.36 152.55  1   1   1   0    
115  1   9   11  264.52 152.55  1   1   1   0    
116  1   9   12  288.68 152.55  1   1   1   0    
117  1   9   13  312.84 152.55  1   1   1   0    
118  1   10  1   22.92  167.89  1   1   1   0    
119  1   10  2   47.08  167.89  1   1   1   0    
120  1   10  3   71.24  167.89  1   1   1   0    
121  1   10  4   95.4   167.89  1   1   1   0    
122  1   10  5   119.56 167.89  1   1   1   0    
123  1   10  6   143.72 167.89  1   1   1   0    
124  1   10  7   167.88 167.89  1   1   1   0    
125  1   10  8   192.04 167.89  1   1   1   0    
126  1   10  9   216.2  167.89  1   1   1   0    
